Cancer Type,Gender,Survival (%)
Anus,Female,99.4
Anus,Female,98.1
Anus,Female,99.6
Anus,Female,98
Anus,Female,97.2
Anus,Female,94.9
Anus,Female,96.5
Anus,Female,88.5
Anus,Female,79.8
Anus,Female,95
Anus,Female,99.5
Anus,Female,96.2
Anus,Female,96.3
Anus,Female,89.4
Anus,Female,97.7
Anus,Female,92.1
Anus,Female,91.2
Anus,Female,90.7
Anus,Female,90.6
Anus,Female,91.3
Anus,Female,88.6
Anus,Female,89
Anus,Female,85.9
Anus,Female,96.1
Anus,Female,96
Anus,Female,97.2
Anus,Female,93.3
Anus,Female,82.2
Anus,Female,86.8
Anus,Female,87.1
Anus,Female,84.4
Anus,Female,77.1
Anus,Female,78.7
Anus,Female,81.7
Anus,Female,77.2
Anus,Female,75.6
Anus,Female,75.4
Anus,Female,78.1
Anus,Female,72.3
Anus,Female,70.7
Anus,Female,72
Anus,Female,74.2
Anus,Female,69.4
Anus,Female,79.2
Anus,Female,83
Anus,Female,58.8
Anus,Female,68.1
Anus,Female,37.2
Anus,Female,45.4
Anus,Female,55.8
Anus,Female,33.2
Anus,Female,49.8
Anus,Male,100.2
Anus,Male,98.5
Anus,Male,97.9
Anus,Male,92.6
Anus,Male,91.9
Anus,Male,94
Anus,Male,81.2
Anus,Male,87.9
Anus,Male,93.7
Anus,Male,94.3
Anus,Male,92.2
Anus,Male,93.1
Anus,Male,86.6
Anus,Male,83.2
Anus,Male,79.1
Anus,Male,79.2
Anus,Male,78
Anus,Male,68.5
Anus,Male,72.1
Anus,Male,70.6
Anus,Male,85.1
Anus,Male,92.5
Anus,Male,83.8
Anus,Male,84.5
Anus,Male,69.5
Anus,Male,76.9
Anus,Male,70.7
Anus,Male,72.5
Anus,Male,57.1
Anus,Male,73.9
Anus,Male,64.4
Anus,Male,62.7
Anus,Male,60.8
Anus,Male,55.5
Anus,Male,57.7
Anus,Male,49.2
Anus,Male,32.8
Anus,Male,55.9
Bladder,Female,95.7
Bladder,Female,97.4
Bladder,Female,95.5
Bladder,Female,94
Bladder,Female,92.1
Bladder,Female,88.9
Bladder,Female,89.8
Bladder,Female,84.7
Bladder,Female,87.5
Bladder,Female,82.7
Bladder,Female,86.8
Bladder,Female,80.5
Bladder,Female,60.9
Bladder,Female,81.7
Bladder,Female,78
Bladder,Female,70.4
Bladder,Female,51.9
Bladder,Female,66.7
Bladder,Female,60.9
Bladder,Female,55.1
Bladder,Female,56.4
Bladder,Female,48.8
Bladder,Female,54.1
Bladder,Female,45.2
