Survival Rate,Gender,Cancer Type
0.683,females,Bladder
0.704,females,Bladder
0.727,females,Bladder
0.727,females,Bladder
0.719,females,Bladder
0.719,females,Bladder
0.75,females,Bladder
0.754,females,Bladder
0.773,females,Bladder
0.748,females,Bladder
0.744,females,Bladder
0.737,males,Bladder
0.751,males,Bladder
0.781,males,Bladder
0.781,males,Bladder
0.813,males,Bladder
0.817,males,Bladder
0.821,males,Bladder
0.804,males,Bladder
0.809,males,Bladder
0.819,males,Bladder
0.792,males,Bladder
0.24,females,Bladder
0.27,females,Bladder
0.381,females,Bladder
0.401,females,Bladder
0.47,females,Bladder
0.528,females,Bladder
0.529,females,Bladder
0.585,females,Bladder
0.462,females,Bladder
0.56,females,Bladder
0.6,females,Bladder
0.558,females,Bladder
0.562,females,Bladder
0.24,males,Bladder
0.38,males,Bladder
0.565,males,Bladder
0.626,males,Bladder
0.649,males,Bladder
0.623,males,Bladder
0.675,males,Bladder
0.657,males,Bladder
0.678,males,Bladder
0.656,males,Bladder
0.718,males,Bladder
0.683,males,Bladder
0.7,males,Bladder
0.53,females,Bladder
0.6,females,Bladder
0.703,females,Bladder
0.723,females,Bladder
0.74,females,Bladder
0.736,females,Bladder
0.731,females,Bladder
0.731,females,Bladder
0.769,females,Bladder
0.759,females,Bladder
0.794,females,Bladder
0.76,females,Bladder
0.754,females,Bladder
0.53,males,Bladder
0.61,males,Bladder
0.743,males,Bladder
0.754,males,Bladder
0.786,males,Bladder
0.784,males,Bladder
0.819,males,Bladder
0.826,males,Bladder
0.825,males,Bladder
0.811,males,Bladder
0.815,males,Bladder
0.826,males,Bladder
0.796,males,Bladder
0.748,females,Breast
0.744,females,Breast
0.761,females,Breast
0.789,females,Breast
0.84,females,Breast
0.852,females,Breast
0.864,females,Breast
0.882,females,Breast
0.897,females,Breast
0.902,females,Breast
0.911,females,Breast
0.46,females,Breast
0.51,females,Breast
0.622,females,Breast
0.634,females,Breast
0.634,females,Breast
0.651,females,Breast
0.711,females,Breast
0.715,females,Breast
0.727,females,Breast
0.762,females,Breast
0.789,females,Breast
0.779,females,Breast
0.827,females,Breast
0.63,females,Breast
0.68,females,Breast
0.756,females,Breast
0.751,females,Breast
0.771,females,Breast
0.8,females,Breast
0.851,females,Breast
0.865,females,Breast
0.876,females,Breast
0.894,females,Breast
0.908,females,Breast
0.917,females,Breast
0.922,females,Breast
0.691,females,Cervix uteri
0.674,females,Cervix uteri
0.669,females,Cervix uteri
0.672,females,Cervix uteri
0.701,females,Cervix uteri
0.696,females,Cervix uteri
0.726,females,Cervix uteri
0.726,females,Cervix uteri
0.724,females,Cervix uteri
0.695,females,Cervix uteri
0.688,females,Cervix uteri
0.47,females,Cervix uteri
0.61,females,Cervix uteri
0.646,females,Cervix uteri
0.61,females,Cervix uteri
0.592,females,Cervix uteri
0.579,females,Cervix uteri
0.57,females,Cervix uteri
0.581,females,Cervix uteri
0.628,females,Cervix uteri
0.648,females,Cervix uteri
0.66,females,Cervix uteri
0.626,females,Cervix uteri
0.583,females,Cervix uteri
0.58,females,Cervix uteri
0.64,females,Cervix uteri
0.697,females,Cervix uteri
0.681,females,Cervix uteri
0.678,females,Cervix uteri
0.688,females,Cervix uteri
0.725,females,Cervix uteri
0.709,females,Cervix uteri
0.742,females,Cervix uteri
